"","player_name","player_height_inches","player_weight","raptor_offense","raptor_defense","raptor_total","FG","FGA","FG_pct","FG3","FGA3","FG3_pct","FG2","FGA2","FG2_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","Fouls","PTS"
"1","Aaron Gordon",80,235,0.467081669562564,-0.456370925933087,0.0107107436294762,6.6,12.6,0.52,1.3,3.9,0.335,5.3,8.7,0.605,2.6,3.5,0.743,1.9,4.8,6.7,2.8,0.7,0.7,2,2.2,17.1
"2","Aaron Wiggins",76,190,-1.81458479820945,-1.62058052910572,-3.43516532731517,4.6,10,0.463,1.3,4.1,0.304,3.4,5.9,0.573,1.8,2.5,0.729,1.5,3.8,5.3,2,0.9,0.3,1.6,2.8,12.4
"3","Admiral Schofield",77,241,-3.17750243247832,-0.958183184706559,-4.13568561718488,4.1,9.9,0.419,2,6.1,0.329,2.1,3.8,0.56,0.9,1.2,0.8,1.3,5.5,6.8,1.9,0.3,0.4,1.6,4.5,11.2
"4","Aleksej Pokusevski",84,190,-2.89556425044952,-0.130990137383006,-3.02655438783253,5.4,13.3,0.408,1.7,5.8,0.289,3.8,7.6,0.498,1,1.5,0.7,2.1,7.2,9.3,3.8,1.1,1.1,2.7,2.6,13.5
"5","Alex Len",84,250,-4.09395357580904,-1.32155001314157,-5.41550358895062,5.5,10.2,0.534,0.3,1.2,0.286,5.1,9,0.568,2.4,3.7,0.651,3,6.3,9.3,2.6,0.8,1.5,2.5,5.8,13.6
"6","Alfonzo McKinnie",79,215,-3.42859158132813,-8.07601249550692,-11.5046040768351,4.2,10.7,0.393,1.6,4.7,0.333,2.6,5.9,0.441,0.3,1.4,0.25,2.3,3.5,5.8,0.9,0.3,0.5,1.2,4.5,10.3
"7","Alize Johnson",80,212,-2.67541248002304,-6.38213522991174,-9.05754770993478,3.7,8.4,0.436,0,0.9,0,3.7,7.5,0.486,1.5,2.6,0.583,6,7.1,13.1,1.9,1.1,0,2.6,3.9,8.8
"8","Andre Iguodala",78,215,-0.404504793930042,5.24764828061054,4.8431434866805,2.7,7.2,0.38,1,4.4,0.23,1.7,2.8,0.617,0.9,1.2,0.75,1.3,4.7,6,6.8,1.6,1.3,1.7,2,7.4
"9","Andrew Wiggins",79,197,-0.215346058004749,1.81578397905629,1.60043792105154,7.3,15.8,0.466,2.4,6.2,0.393,4.9,9.6,0.513,2.3,3.6,0.634,1.3,3.7,5,2.5,1.2,0.8,1.7,2.4,19.4
"10","Anthony Gill",79,230,0.41952389846168,-0.758417510039157,-0.338893611577477,4.8,8.5,0.569,1.1,2,0.538,3.7,6.5,0.578,3.3,4,0.808,2.6,4,6.6,2.1,0.4,0.9,1.4,4.5,14
"11","Bam Adebayo",81,255,-0.334639522837876,4.20033371369012,3.86569419085225,8,14.4,0.557,0,0.1,0,8,14.3,0.562,5,6.7,0.753,2.7,8.4,11.1,3.7,1.6,0.9,2.9,3.4,21.1
"12","Ben McLemore",75,195,-1.62433248764401,-3.31078843188563,-4.93512091952964,6.1,15.1,0.401,4.2,11.7,0.362,1.8,3.4,0.533,2,2.5,0.818,0.3,2.5,2.9,1.7,1.1,0.3,1.5,2.9,18.4
"13","Bobby Portis",82,250,0.773725606362625,1.00140186626638,1.775127472629,7.4,15.5,0.479,2.4,6,0.393,5,9.5,0.533,1.5,2,0.752,3.2,8.5,11.7,1.5,0.9,0.9,1.6,3.1,18.7
"14","Bones Hyland",74,169,2.39078021969653,-1.34977929417033,1.0410009255262,6.3,15.7,0.403,3.6,9.8,0.366,2.7,5.9,0.465,2.9,3.4,0.856,0.4,4.8,5.2,5.2,1.1,0.5,2.4,4.2,19.2
"15","Brad Wanamaker",75,210,-3.32264671499726,-2.38227359760506,-5.70492031260232,3.2,8.7,0.364,0.5,1.9,0.235,2.7,6.8,0.4,2.6,2.8,0.92,0.7,3.7,4.4,6.2,0.8,0.7,2.6,5.1,9.3
"16","Bradley Beal",76,207,1.08443544355524,0.712008097137407,1.79644354069264,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
"17","Brandon Goodwin",72,180,-1.69619836905963,-0.0612893105204922,-1.75748767958012,4.6,11,0.416,1.4,3.9,0.345,3.2,7.1,0.455,1.7,2.7,0.632,1,3.8,4.8,6.5,1.8,0.1,2.6,2.8,12.3
"18","Brandon Ingram",80,190,1.18376851117256,-1.35372024053185,-0.169951729359292,8.7,18.9,0.461,1.4,4.4,0.327,7.3,14.6,0.501,5.1,6.2,0.826,0.7,5.5,6.2,5.9,0.7,0.5,2.9,2.3,24
"19","Brandon Knight",74,182,-1.58547521542188,-0.239452768262588,-1.82492798368447,5.5,13.8,0.4,2.2,9.4,0.235,3.3,4.4,0.75,4.4,4.4,1,0,4.4,4.4,4.4,0.6,0,2.2,2.8,17.7
"20","Brandon Williams",74,190,-2.82956406647378,-1.82201061130139,-4.65157467777517,5.9,15.9,0.372,1.7,6,0.292,4.2,9.9,0.42,3.8,5.5,0.701,1.1,3.1,4.2,5.3,1.4,0.6,3.3,2.9,17.4
