"","x","player_id","player_name","team_id","team_abbreviation","age","player_height","player_height_inches","player_weight","college","country","draft_year","draft_round","draft_number","gp","pts","reb","ast","net_rating","oreb_pct","dreb_pct","usg_pct","ts_pct","ast_pct"
"1",1,203932,"Aaron Gordon",1610612743,"DEN",26,"6-8",80,235,"Arizona","USA","2014","1","4",75,15,5.9,2.5,6.2,0.057,0.129,0.194,0.602,0.109
"2",2,1630565,"Aaron Henry",1610612755,"PHI",22,"6-5",77,210,"Michigan State","USA","Undrafted","Undrafted","Undrafted",6,0.3,0.2,0,-56,0,0.048,0.149,0.2,0
"3",3,1628988,"Aaron Holiday",1610612756,"PHX",25,"6-0",72,185,"UCLA","USA","2018","1","23",63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223
"4",4,1630174,"Aaron Nesmith",1610612738,"BOS",22,"6-5",77,215,"Vanderbilt","USA","2020","1","14",52,3.8,1.7,0.4,3,0.025,0.117,0.164,0.507,0.057
"5",5,1630598,"Aaron Wiggins",1610612760,"OKC",23,"6-4",76,190,"Maryland","USA","2021","2","55",50,8.3,3.6,1.4,-8.1,0.04,0.098,0.149,0.556,0.083
"6",6,1627846,"Abdel Nader",1610612756,"PHX",28,"6-5",77,225,"Iowa State","Egypt","2016","2","58",14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065
"7",7,1630278,"Ade Murkey",1610612758,"SAC",24,"6-5",77,200,"Denver","USA","Undrafted","Undrafted","Undrafted",1,0,0,0,-33.3,0,0,0,0,0
"8",8,1629678,"Admiral Schofield",1610612753,"ORL",25,"6-5",77,241,"Tennessee","United Kingdom","2019","2","42",38,3.8,2.3,0.7,-13.5,0.033,0.146,0.143,0.538,0.084
"9",9,1629958,"Ahmad Caver",1610612754,"IND",25,"6-2",74,174,"Old Dominion","USA","2019",NA,NA,1,2,0,0,133.3,0,0,0.5,1,0
"10",10,201143,"Al Horford",1610612738,"BOS",35,"6-9",81,240,"Florida","Dominican Republic","2007","1","3",69,10.2,7.7,3.4,9.3,0.054,0.201,0.147,0.574,0.159
"11",11,202692,"Alec Burks",1610612752,"NYK",30,"6-6",78,214,"Colorado","USA","2011","1","12",81,11.7,4.9,3,2.3,0.019,0.148,0.171,0.559,0.158
"12",12,1630758,"Aleem Ford",1610612753,"ORL",24,"6-8",80,220,"Wisconsin","USA","Undrafted","Undrafted","Undrafted",5,2.8,3,0.4,-22.1,0.028,0.16,0.148,0.35,0.043
"13",13,1630197,"Aleksej Pokusevski",1610612760,"OKC",20,"7-0",84,190,"None","Serbia","2020","1","17",61,7.6,5.2,2.1,-2.5,0.054,0.189,0.195,0.485,0.161
"14",14,1627936,"Alex Caruso",1610612741,"CHI",28,"6-5",77,186,"Texas A&M","USA","Undrafted","Undrafted","Undrafted",41,7.4,3.6,4,5.1,0.029,0.101,0.13,0.528,0.194
"15",15,203458,"Alex Len",1610612758,"SAC",28,"7-0",84,250,"Maryland","Ukraine","2013","1","5",39,6,4.1,1.2,-5.5,0.076,0.168,0.165,0.577,0.104
"16",16,1628035,"Alfonzo McKinnie",1610612741,"CHI",29,"6-7",79,215,"Wisc.-Green Bay","USA","Undrafted","Undrafted","Undrafted",17,3.5,1.9,0.3,-12.9,0.059,0.115,0.148,0.457,0.034
"17",17,1628993,"Alize Johnson",1610612740,"NOP",25,"6-8",80,212,"Missouri State","USA","2018","2","50",23,1.8,2.7,0.4,-10.6,0.156,0.202,0.14,0.463,0.08
"18",18,1630578,"Alperen Sengun",1610612745,"HOU",19,"6-10",82,243,"None","Turkey","2021","1","16",72,9.6,5.5,2.6,-10.2,0.089,0.174,0.214,0.552,0.193
"19",19,1629599,"Amir Coffey",1610612746,"LAC",24,"6-7",79,210,"Minnesota","USA","Undrafted","Undrafted","Undrafted",69,9,2.9,1.8,-0.9,0.017,0.102,0.154,0.598,0.112
"20",20,203083,"Andre Drummond",1610612751,"BKN",28,"6-10",82,279,"Connecticut","USA","2012","1","9",73,7.9,9.3,1.8,2.4,0.155,0.305,0.181,0.574,0.13
"21",21,2738,"Andre Iguodala",1610612744,"GSW",38,"6-6",78,215,"Arizona","USA","2004","1","9",31,4,3.2,3.7,8.7,0.035,0.117,0.113,0.478,0.263
"22",22,203952,"Andrew Wiggins",1610612744,"GSW",27,"6-7",79,197,"Kansas","Canada","2014","1","1",73,17.2,4.5,2.2,5.8,0.036,0.095,0.224,0.56,0.109
"23",23,1629014,"Anfernee Simons",1610612757,"POR",22,"6-3",75,181,"None","USA","2018","1","24",57,17.3,2.6,3.9,-2.5,0.015,0.075,0.244,0.583,0.219
"24",24,203076,"Anthony Davis",1610612747,"LAL",29,"6-10",82,253,"Kentucky","USA","2012","1","1",40,23.2,9.9,3.1,-3,0.072,0.196,0.263,0.578,0.147
"25",25,1630162,"Anthony Edwards",1610612750,"MIN",20,"6-4",76,225,"Georgia","USA","2020","1","1",72,21.3,4.8,3.8,4,0.023,0.113,0.262,0.56,0.173
"26",26,1630264,"Anthony Gill",1610612764,"WAS",29,"6-7",79,230,"Virginia","USA","Undrafted","Undrafted","Undrafted",44,4.1,1.9,0.6,5.8,0.075,0.112,0.138,0.682,0.08
"27",27,1630237,"Anthony Lamb",1610612745,"HOU",24,"6-6",78,227,"Vermont","USA","Undrafted","Undrafted","Undrafted",2,0,0.5,1,29.4,0,0.125,0.105,0,0.4
"28",28,1629717,"Armoni Brooks",1610612761,"TOR",23,"6-3",75,195,"Houston","USA","2019",NA,NA,54,5.3,1.9,1.1,-3.8,0.021,0.097,0.159,0.483,0.105
"29",29,1629083,"Arnoldas Kulboka",1610612766,"CHA",24,"6-10",82,209,"None","Lithuania","2018","2","55",2,0,0,0,-100,0,0,0.071,0,0
"30",30,1630559,"Austin Reaves",1610612747,"LAL",23,"6-5",77,197,"Oklahoma","USA","Undrafted","Undrafted","Undrafted",61,7.3,3.2,1.8,1.8,0.031,0.099,0.121,0.6,0.101
"31",31,203085,"Austin Rivers",1610612743,"DEN",29,"6-4",76,200,"Duke","USA","2012","1","10",67,6,1.7,1.3,1.9,0.014,0.063,0.123,0.546,0.082
"32",32,202340,"Avery Bradley",1610612747,"LAL",31,"6-3",75,180,"Texas-Austin","USA","2010","1","19",62,6.4,2.2,0.8,-5.8,0.021,0.073,0.119,0.55,0.046
"33",33,1630245,"Ayo Dosunmu",1610612741,"CHI",22,"6-4",76,200,"Illinois","USA","2021","2","38",77,8.8,2.8,3.3,-5,0.013,0.09,0.138,0.596,0.164
"34",34,1629168,"BJ Johnson",1610612753,"ORL",26,"6-6",78,200,"La Salle","USA","Undrafted","Undrafted","Undrafted",4,6.5,3.8,0,-9.2,0.091,0.122,0.169,0.52,0
"35",35,1628389,"Bam Adebayo",1610612748,"MIA",24,"6-9",81,255,"Kentucky","USA","2017","1","14",56,19.1,10.1,3.4,8.1,0.08,0.234,0.248,0.608,0.172
"36",36,203463,"Ben McLemore",1610612757,"POR",29,"6-3",75,195,"Kansas","USA","2013","1","7",64,10.2,1.6,0.9,-13.1,0.009,0.072,0.207,0.567,0.077
"37",37,202687,"Bismack Biyombo",1610612756,"PHX",29,"6-8",80,255,"None","DRC","2011","1","7",36,5.8,4.6,0.6,5.6,0.117,0.207,0.167,0.596,0.064
"38",38,201933,"Blake Griffin",1610612751,"BKN",33,"6-9",81,250,"Oklahoma","USA","2009","1","1",56,6.4,4.1,1.9,-4.7,0.061,0.169,0.167,0.518,0.157
"39",39,1626246,"Boban Marjanovic",1610612742,"DAL",33,"7-3",87,290,"None","Serbia","Undrafted","Undrafted","Undrafted",23,4.3,1.7,0.1,12.8,0.066,0.228,0.311,0.615,0.044
