"","rk","player","pos","age","tm","g","gs","mp","fg","fga","fg_2","x3p","x3pa","x3p_2","x2p","x2pa","x2p_2","ft","fta","ft_2","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"1",1,"Precious Achiuwa\achiupr01","C",22,"TOR",73,28,1725,5.5,12.6,0.439,1.2,3.3,0.359,4.4,9.3,0.468,1.6,2.7,0.595,3,6.8,9.9,1.7,0.8,0.9,1.8,3.2,13.9
"2",2,"Steven Adams\adamsst01","C",28,"MEM",76,75,1999,3.8,6.9,0.547,0,0,0,3.8,6.9,0.548,1.9,3.6,0.543,6.3,7.4,13.7,4.6,1.2,1.1,2.1,2.8,9.5
"3",3,"Bam Adebayo\adebaba01","C",24,"MIA",56,56,1825,8,14.4,0.557,0,0.1,0,8,14.3,0.562,5,6.7,0.753,2.7,8.4,11.1,3.7,1.6,0.9,2.9,3.4,21.1
"4",4,"Santi Aldama\aldamsa01","PF",21,"MEM",32,0,360,5.3,13.2,0.402,0.6,4.8,0.125,4.7,8.4,0.56,2,3.2,0.625,3.3,5.4,8.7,2.1,0.6,1,1.6,3.6,13.2
"5",5,"LaMarcus Aldridge\aldrila01","C",36,"BRK",47,12,1050,8.6,15.7,0.55,0.5,1.6,0.304,8.2,14.1,0.578,3.1,3.5,0.873,2.5,6.3,8.8,1.4,0.5,1.6,1.5,2.7,20.8
"6",6,"Nickeil Alexander-Walker\alexani01","SG",23,"TOT",65,21,1466,6.2,16.7,0.372,2.6,8.3,0.311,3.6,8.4,0.433,2,2.7,0.743,0.9,3.7,4.6,3.8,1.1,0.6,2.3,2.5,17
"7",6,"Nickeil Alexander-Walker\alexani01","SG",23,"NOP",50,19,1317,6.5,17.3,0.375,2.6,8.3,0.311,3.9,8.9,0.434,1.9,2.7,0.722,1,3.5,4.5,3.8,1.1,0.5,2.3,2.4,17.5
"8",6,"Nickeil Alexander-Walker\alexani01","SG",23,"UTA",15,2,149,3.9,11.6,0.333,2.4,8,0.303,1.4,3.6,0.4,2.7,2.9,0.917,0.2,5.3,5.6,4.1,1.2,1,1.9,3.6,12.8
"9",7,"Grayson Allen\allengr01","SG",26,"MIL",66,61,1805,5.1,11.3,0.448,3.2,7.8,0.409,1.9,3.6,0.533,1.3,1.5,0.865,0.6,3.8,4.4,2,0.9,0.4,0.9,1.9,14.6
"10",8,"Jarrett Allen\allenja01","C",23,"CLE",56,56,1809,7.3,10.8,0.677,0,0.2,0.1,7.3,10.6,0.688,3.3,4.6,0.708,3.8,8.2,12,1.8,0.9,1.5,1.9,1.9,18
"11",9,"Jose Alvarado\alvarjo01","PG",23,"NOP",54,1,834,5.7,12.7,0.446,1.4,4.7,0.291,4.3,7.9,0.538,1.6,2.3,0.679,1.1,3.2,4.3,6.6,3.1,0.3,1.7,3.2,14.2
"12",10,"Justin Anderson\anderju01","SF",28,"TOT",16,6,316,4.1,10.8,0.379,1.7,6.7,0.254,2.4,4.1,0.583,1.7,2.2,0.789,0.5,4.8,5.2,3.8,0.9,0.7,0.9,2.5,11.6
"13",10,"Justin Anderson\anderju01","SF",28,"CLE",3,0,47,3.1,6.1,0.5,1.5,4.6,0.333,1.5,1.5,1,2.3,3.1,0.75,0,4.6,4.6,4.6,0.8,0,1.5,3.1,10
"14",10,"Justin Anderson\anderju01","SF",28,"IND",13,6,269,4.3,11.6,0.368,1.7,7.1,0.245,2.5,4.6,0.559,1.6,2,0.8,0.5,4.8,5.4,3.6,0.9,0.8,0.8,2.4,11.9
"15",11,"Kyle Anderson\anderky01","PF",28,"MEM",69,11,1484,5.1,11.4,0.446,0.9,2.6,0.33,4.2,8.7,0.481,1.6,2.5,0.638,1.7,7.3,8.9,4.4,1.9,1.1,1.7,2.6,12.6
"16",12,"Giannis Antetokounmpo\antetgi01","PF",27,"MIL",67,67,2204,11.3,20.3,0.553,1.2,4,0.293,10.1,16.4,0.616,9,12.5,0.722,2.2,10.5,12.7,6.3,1.2,1.5,3.6,3.5,32.7
"17",13,"Thanasis Antetokounmpo\antetth01","SF",29,"MIL",48,6,473,5.3,9.7,0.547,0.2,1.1,0.143,5.2,8.7,0.596,2.2,3.5,0.63,3,4.6,7.7,1.7,1.2,0.9,2,5.2,13
"18",14,"Carmelo Anthony\anthoca01","PF",37,"LAL",69,3,1793,6.4,14.5,0.441,3,8,0.375,3.4,6.5,0.521,2.7,3.2,0.83,1.2,4.5,5.8,1.4,0.9,1,1.2,3.3,18.5
"19",15,"Cole Anthony\anthoco01","PG",21,"ORL",65,65,2059,6.2,15.9,0.391,2.3,6.8,0.338,3.9,9.1,0.432,3.8,4.4,0.854,0.6,5.5,6.1,6.5,0.8,0.3,3,3,18.6
"20",16,"OG Anunoby\anunoog01","SF",24,"TOR",48,48,1728,6.4,14.5,0.443,2.4,6.6,0.363,4,7.9,0.511,1.9,2.5,0.754,1.5,4,5.5,2.6,1.5,0.5,1.7,2.7,17.1
"21",17,"Ryan Arcidiacono\arcidry01","PG",27,"NYK",10,0,76,2.8,5.7,0.5,1.9,4.3,0.444,0.9,1.4,0.667,0,0,NA,0,3.8,3.8,1.9,0.5,0,1.4,2.4,7.6
"22",18,"Trevor Ariza\arizatr01","SF",36,"LAL",24,11,462,2.6,7.7,0.333,1.6,5.8,0.27,1,1.9,0.52,0.8,1.4,0.556,0.8,5.6,6.4,2.1,1,0.5,0.9,1.6,7.5
"23",19,"D.J. Augustin\augusdj01","PG",34,"TOT",55,2,883,3.8,9.1,0.423,2.8,6.7,0.415,1.1,2.4,0.448,1.5,1.8,0.884,0.4,2.3,2.8,4.4,0.7,0,2.3,1.6,12
"24",19,"D.J. Augustin\augusdj01","PG",34,"HOU",34,2,510,3.9,9.6,0.404,2.8,6.8,0.406,1.1,2.8,0.4,2.3,2.7,0.868,0.5,2.4,2.9,5.2,0.7,0,3.2,1.2,12.8
"25",19,"D.J. Augustin\augusdj01","PG",34,"LAL",21,0,373,3.8,8.3,0.453,2.8,6.6,0.426,1,1.7,0.556,0.5,0.5,1,0.4,2.2,2.6,3.2,0.7,0.1,1.1,2.1,10.8
"26",20,"Deni Avdija\avdijde01","SF",21,"WAS",82,8,1984,4.5,10.5,0.432,1.5,4.7,0.317,3,5.8,0.525,1.9,2.5,0.757,0.9,6.8,7.7,3,1.1,0.8,1.6,3.4,12.4
"27",21,"Joel Ayayi\ayayijo01","SG",21,"WAS",7,0,20,1.8,10.8,0.167,0,1.8,0,1.8,9,0.2,0,0,NA,1.8,3.6,5.4,7.2,0,0,0,0,3.6
"28",22,"Deandre Ayton\aytonde01","C",23,"PHO",58,58,1713,9.3,14.6,0.634,0.1,0.4,0.368,9.1,14.2,0.642,2.2,3,0.746,3.1,9.3,12.5,1.8,0.8,0.8,1.9,3,21
"29",23,"Udoka Azubuike\azubuud01","C",22,"UTA",17,6,195,6.8,9,0.755,0,0,NA,6.8,9,0.755,1.1,2,0.545,3.3,9.8,13.1,0,0.2,2,2.2,4.6,14.8
"30",24,"Marvin Bagley III\baglema01","PF",22,"TOT",48,25,1146,7.1,14,0.504,0.7,3,0.237,6.3,11,0.579,2.1,3.2,0.663,3.3,7.3,10.6,1.1,0.7,0.6,1.2,2.9,17
"31",24,"Marvin Bagley III\baglema01","PF",22,"SAC",30,17,656,6.3,13.5,0.463,0.8,3.4,0.242,5.4,10.1,0.538,1.9,2.6,0.745,3.7,8.1,11.8,0.9,0.5,0.6,1.2,2.7,15.3
"32",24,"Marvin Bagley III\baglema01","PF",22,"DET",18,8,490,8.2,14.7,0.555,0.6,2.6,0.229,7.6,12.1,0.624,2.4,4,0.593,2.8,6.2,9,1.4,1,0.5,1.3,3.2,19.2
